"Barrio","superficie","precio"
"Recoleta",34,120000
"Recoleta",169,535000
"Recoleta",178,670000
"Recoleta",111,294500
"Recoleta",140,460000
"Recoleta",37,120000
"Recoleta",100,290000
"Recoleta",107,360000
"Recoleta",39,132000
"Recoleta",33,90500
"Recoleta",126,550000
"Recoleta",55,200000
"Recoleta",53,170000
"Recoleta",37,130000
"Recoleta",76,183000
"Recoleta",61,249000
"Recoleta",47,130000
"Recoleta",39,158000
"Recoleta",97,395000
"Recoleta",124,330000
"Recoleta",102,295000
"Recoleta",155,349000
"Recoleta",168,500000
"Recoleta",110,310000
"Recoleta",83,180000
"Recoleta",33,105000
"Recoleta",104,399990
"Recoleta",32,118000
"Recoleta",53,229000
"Recoleta",143,349000
